asv	kingdom	phylum	class	order	family	genus	species
3a66f1e79260bea0250675a886735b63	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 1	uncultured bacterium
b00aeb86b9db2934529ffb7ce8b7a356	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 1	uncultured bacterium
3fe959b647535d3a89cbce4d757706a2	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium] coprostanoligenes group	uncultured bacterium
41acae7fa262ec457a40e3de3ff3d4ea	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
d0fbaa8217768e12f6ab7a49f6f6a13b	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
8a9038924096efb62b932435001d3cef	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium] coprostanoligenes group	uncultured bacterium
f7f96291faf904abb3e9aa1ecdcef48b	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
82370fc9d36056e285ea4c35baed2d26	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
84b0bedb9deee4c7f2d1b41278bdcbf1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
9655a209e06cebcad6860334dbe28328	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
823d9eacae36390abe8a635060926fba	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
705b94f81bb36a4536d0c47e54890590	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	NA
ffc36e27c82042664a16bcd4d380b286	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella	NA
7f957859a0ebaa17edbdc09b8331c585	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
c9ec9bb4060035d90956e2eadc360a03	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	uncultured bacterium
d23182e8ef6c8ecfa3ccafa68a4d9909	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	NA	NA
de7c8880eec69c01fb48965717ce4767	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	NA
8519ce0cff26a935b5203e976c66b84d	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	wallaby gut metagenome
bee5e6af6257245c1586300c3691393f	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
c2b7dec224c7e83180ebbb6e2d9b0ff5	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
512fa255a2cf06f60248293decaaf171	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
e4824b0b5514538a5d0bf90db71f271a	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
0768ea73ae377bedd62465a6e770d9ef	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
8d96203fbb5a72a8d54e4934fa0b4573	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 1	NA
f0850db67413ea0a66ef210f95677485	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
8f51d82f637b533c4bf93d8f18ccbc3f	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
17f804cc94127594bcc4f6a0fe98c3ab	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
a99dc607d1c03cffa4fbfdca0c4882b5	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
e33d7bf77ae08d611d59826d1d5f5588	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
3731b629310d02d9c249948a8cc2e5d1	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	NA
4183b288eadee1a63de63031477a4614	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium 5	uncultured bacterium
0621176afb26a20afc63f8bee39c08c3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 1	uncultured bacterium
c941caa6f9d5f386835a14aacbb8fa72	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
b20d40b18c1f644517dba2991d8de77e	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	NA	NA	NA
55f15e2fe51e896fd10ee7c78c54bf63	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	NA
ce0ef0fc5a8b4532c835cc5da21bff30	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
1ea17f6d573df4b3f1df09ea49a72443	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 1	NA
12fb263786639f9dde4d475913b49dd6	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	uncultured bacterium
24f24dc590a8a74ccdd8684247800f42	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
010ed335fb48d4dbc5903cabedb35bb9	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	uncultured bacterium	uncultured bacterium	uncultured bacterium
2653a431a6e62921bd0562a67141e254	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	NA
074ab74a92a2f4a751aff98da87dc3bb	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
53f1707392f9591413283770007c2276	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
1e540c4bf336dd4d63ce15dd1adda489	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	uncultured bacterium
adf36d199999803599eefcb989e7127a	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	NA	NA	NA
78dad3684ec2a962a72b00ec7e09e357	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
a26b8e2a8a22f3f9c70010208af1b0b4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	NA
9ae8b04565311781e4d2417b890f1817	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	wallaby gut metagenome
76263baa0b9ee63863072926f4eb6300	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA	NA
0f793410f37425f3878413f359c22686	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	uncultured bacterium	uncultured bacterium	uncultured bacterium
