asv	sample	count	relab
002609775996f6d53a08357ce2a19397	FD200	8	4.6144084905116225e-4
0034482a85bd38f27f973d62b032aabf	577	2	1.8055430170623815e-4
0051213008a5ab7c508edad8a4d074ac	202	27	0.0016515781747002691
0062a8ca30e89b5e1e979da937a95156	FD538	1	8.64902266043937e-5
00e97d51eebdd97f0c01e4da7ffd6e60	FD568	6	4.53035336756267e-4
0140184280184a14134e2b58796032a6	FD566	12	4.7068052559325356e-4
018770835b4dd064ac19da5b337d25d1	198	94	0.003258119302623826
018770835b4dd064ac19da5b337d25d1	200	405	0.0124202649656526
018770835b4dd064ac19da5b337d25d1	201	247	0.004964624537707026
018770835b4dd064ac19da5b337d25d1	202	39	0.0023856129190114998
018770835b4dd064ac19da5b337d25d1	212	17	6.548031738695016e-4
018770835b4dd064ac19da5b337d25d1	213	32	0.001885014137606032
018770835b4dd064ac19da5b337d25d1	228	37	0.003813253632897042
018770835b4dd064ac19da5b337d25d1	514	55	0.00650887573964497
018770835b4dd064ac19da5b337d25d1	518	15	0.002730748225013654
018770835b4dd064ac19da5b337d25d1	519	5	6.764618340233245e-5
018770835b4dd064ac19da5b337d25d1	529	90	0.013404825737265416
018770835b4dd064ac19da5b337d25d1	538	80	0.006700728704246587
018770835b4dd064ac19da5b337d25d1	541	65	0.0018850414709123602
018770835b4dd064ac19da5b337d25d1	560	47	0.006365975890559393
018770835b4dd064ac19da5b337d25d1	566	67	0.0038708186492576115
018770835b4dd064ac19da5b337d25d1	568	89	0.0026844422995716956
018770835b4dd064ac19da5b337d25d1	571	171	0.006141800158034624
018770835b4dd064ac19da5b337d25d1	577	31	0.002798591676446691
018770835b4dd064ac19da5b337d25d1	FD198	260	0.00836981715168684
018770835b4dd064ac19da5b337d25d1	FD200	264	0.015227548018688355
018770835b4dd064ac19da5b337d25d1	FD201	51	0.0033453591341423418
018770835b4dd064ac19da5b337d25d1	FD202	30	0.0012137886389383395
018770835b4dd064ac19da5b337d25d1	FD212	11	8.897516783952115e-4
018770835b4dd064ac19da5b337d25d1	FD213	63	0.0022972578763127186
018770835b4dd064ac19da5b337d25d1	FD228	34	0.001815657374773043
018770835b4dd064ac19da5b337d25d1	FD514	47	0.0034683787174378273
018770835b4dd064ac19da5b337d25d1	FD518	43	0.0030817745287751736
018770835b4dd064ac19da5b337d25d1	FD529	116	0.007459327374445373
018770835b4dd064ac19da5b337d25d1	FD538	149	0.012887043764054662
