asv	seqround	sample	count
ed655f715e616f0f6c3883a1ab9d53e6	asv_table.plate1	202	4
ed655f715e616f0f6c3883a1ab9d53e6	asv_table.plate1	228	675
ed655f715e616f0f6c3883a1ab9d53e6	asv_table.plate1	529	94
ed655f715e616f0f6c3883a1ab9d53e6	asv_table.plate1	560	15237
ed655f715e616f0f6c3883a1ab9d53e6	asv_table.plate1	FD212	2831
ed655f715e616f0f6c3883a1ab9d53e6	asv_table.plate1	FD519	5760
ed655f715e616f0f6c3883a1ab9d53e6	asv_table.plate1	FD560	3784
ed655f715e616f0f6c3883a1ab9d53e6	asv_table.plate1	FD571	4
ed655f715e616f0f6c3883a1ab9d53e6	asv_table.plate1	neg1	83
ed655f715e616f0f6c3883a1ab9d53e6	asv_table.plate1	neg2	13
ed655f715e616f0f6c3883a1ab9d53e6	asv_table.plate1	neg3	23
ed655f715e616f0f6c3883a1ab9d53e6	asv_table.plate1	neg4	84
3a66f1e79260bea0250675a886735b63	asv_table.plate1	202	3142
3a66f1e79260bea0250675a886735b63	asv_table.plate1	228	1353
3a66f1e79260bea0250675a886735b63	asv_table.plate1	518	231
3a66f1e79260bea0250675a886735b63	asv_table.plate1	529	2950
3a66f1e79260bea0250675a886735b63	asv_table.plate1	560	3785
3a66f1e79260bea0250675a886735b63	asv_table.plate1	FD200	3272
3a66f1e79260bea0250675a886735b63	asv_table.plate1	FD212	3388
3a66f1e79260bea0250675a886735b63	asv_table.plate1	FD519	228
3a66f1e79260bea0250675a886735b63	asv_table.plate1	FD560	5271
3a66f1e79260bea0250675a886735b63	asv_table.plate1	FD571	4788
3a66f1e79260bea0250675a886735b63	asv_table.plate1	neg1	20
3a66f1e79260bea0250675a886735b63	asv_table.plate1	neg2	104
3a66f1e79260bea0250675a886735b63	asv_table.plate1	neg3	23
3a66f1e79260bea0250675a886735b63	asv_table.plate1	neg4	33
b00aeb86b9db2934529ffb7ce8b7a356	asv_table.plate1	202	14604
b00aeb86b9db2934529ffb7ce8b7a356	asv_table.plate1	228	1402
b00aeb86b9db2934529ffb7ce8b7a356	asv_table.plate1	518	576
b00aeb86b9db2934529ffb7ce8b7a356	asv_table.plate1	529	2996
b00aeb86b9db2934529ffb7ce8b7a356	asv_table.plate1	560	121
b00aeb86b9db2934529ffb7ce8b7a356	asv_table.plate1	FD200	12843
b00aeb86b9db2934529ffb7ce8b7a356	asv_table.plate1	FD212	2017
b00aeb86b9db2934529ffb7ce8b7a356	asv_table.plate1	FD519	1682
b00aeb86b9db2934529ffb7ce8b7a356	asv_table.plate1	FD560	105
b00aeb86b9db2934529ffb7ce8b7a356	asv_table.plate1	FD571	25510
b00aeb86b9db2934529ffb7ce8b7a356	asv_table.plate1	neg1	33
b00aeb86b9db2934529ffb7ce8b7a356	asv_table.plate1	neg2	37
b00aeb86b9db2934529ffb7ce8b7a356	asv_table.plate1	neg3	36
3fe959b647535d3a89cbce4d757706a2	asv_table.plate1	202	406
3fe959b647535d3a89cbce4d757706a2	asv_table.plate1	228	1858
3fe959b647535d3a89cbce4d757706a2	asv_table.plate1	518	1313
3fe959b647535d3a89cbce4d757706a2	asv_table.plate1	529	63
3fe959b647535d3a89cbce4d757706a2	asv_table.plate1	FD200	685
3fe959b647535d3a89cbce4d757706a2	asv_table.plate1	FD212	64
3fe959b647535d3a89cbce4d757706a2	asv_table.plate1	FD571	6
3fe959b647535d3a89cbce4d757706a2	asv_table.plate1	neg1	64
3fe959b647535d3a89cbce4d757706a2	asv_table.plate1	neg4	3
41acae7fa262ec457a40e3de3ff3d4ea	asv_table.plate1	202	2635
41acae7fa262ec457a40e3de3ff3d4ea	asv_table.plate1	228	958
41acae7fa262ec457a40e3de3ff3d4ea	asv_table.plate1	518	2167
41acae7fa262ec457a40e3de3ff3d4ea	asv_table.plate1	529	699
41acae7fa262ec457a40e3de3ff3d4ea	asv_table.plate1	560	4265
41acae7fa262ec457a40e3de3ff3d4ea	asv_table.plate1	FD200	1853
41acae7fa262ec457a40e3de3ff3d4ea	asv_table.plate1	FD212	3091
41acae7fa262ec457a40e3de3ff3d4ea	asv_table.plate1	FD519	132
41acae7fa262ec457a40e3de3ff3d4ea	asv_table.plate1	FD560	3202
41acae7fa262ec457a40e3de3ff3d4ea	asv_table.plate1	FD571	5
41acae7fa262ec457a40e3de3ff3d4ea	asv_table.plate1	neg1	25
41acae7fa262ec457a40e3de3ff3d4ea	asv_table.plate1	neg2	35
41acae7fa262ec457a40e3de3ff3d4ea	asv_table.plate1	neg3	254
d8f620361a534bbf300f78a4e31a656b	asv_table.plate1	202	412
d8f620361a534bbf300f78a4e31a656b	asv_table.plate1	228	1062
d8f620361a534bbf300f78a4e31a656b	asv_table.plate1	518	1360
d8f620361a534bbf300f78a4e31a656b	asv_table.plate1	529	650
d8f620361a534bbf300f78a4e31a656b	asv_table.plate1	560	2086
d8f620361a534bbf300f78a4e31a656b	asv_table.plate1	FD200	2887
d8f620361a534bbf300f78a4e31a656b	asv_table.plate1	FD212	847
d8f620361a534bbf300f78a4e31a656b	asv_table.plate1	FD519	7871
d8f620361a534bbf300f78a4e31a656b	asv_table.plate1	FD560	1984
d8f620361a534bbf300f78a4e31a656b	asv_table.plate1	FD571	16243
d8f620361a534bbf300f78a4e31a656b	asv_table.plate1	neg1	24
d8f620361a534bbf300f78a4e31a656b	asv_table.plate1	neg2	73
d8f620361a534bbf300f78a4e31a656b	asv_table.plate1	neg3	22
d8f620361a534bbf300f78a4e31a656b	asv_table.plate1	neg4	10
86c06d1b24f35dfd473d4ce51d6d089a	asv_table.plate1	202	6511
86c06d1b24f35dfd473d4ce51d6d089a	asv_table.plate1	228	2261
86c06d1b24f35dfd473d4ce51d6d089a	asv_table.plate1	518	594
86c06d1b24f35dfd473d4ce51d6d089a	asv_table.plate1	529	18029
86c06d1b24f35dfd473d4ce51d6d089a	asv_table.plate1	560	1553
86c06d1b24f35dfd473d4ce51d6d089a	asv_table.plate1	FD200	12824
86c06d1b24f35dfd473d4ce51d6d089a	asv_table.plate1	FD212	594
86c06d1b24f35dfd473d4ce51d6d089a	asv_table.plate1	FD519	5476
