asv	kingdom	phylum	class	order	family	genus	species
ed655f715e616f0f6c3883a1ab9d53e6	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium] coprostanoligenes group	uncultured bacterium
3a66f1e79260bea0250675a886735b63	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 1	uncultured bacterium
b00aeb86b9db2934529ffb7ce8b7a356	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 1	uncultured bacterium
3fe959b647535d3a89cbce4d757706a2	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium] coprostanoligenes group	uncultured bacterium
41acae7fa262ec457a40e3de3ff3d4ea	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
d8f620361a534bbf300f78a4e31a656b	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
86c06d1b24f35dfd473d4ce51d6d089a	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	uncultured bacterium
d0fbaa8217768e12f6ab7a49f6f6a13b	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
33c6ada89d66283a8e8baf7f308b8efb	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 9	NA
8a9038924096efb62b932435001d3cef	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium] coprostanoligenes group	uncultured bacterium
f7f96291faf904abb3e9aa1ecdcef48b	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
47e9460bf281f462075b7048391301de	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
82370fc9d36056e285ea4c35baed2d26	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
a43deeb6277903818788a6da917dbe83	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group	NA
84b0bedb9deee4c7f2d1b41278bdcbf1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
8667c6ba401517acc64249afb87c075c	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
f81006af03e5c65f4b472b07d264407e	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	NA
9655a209e06cebcad6860334dbe28328	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
